Sample,Best Accuracy,Best SVM Parameters
S1,63.33,"kernel: rbf, C: 19.1183, gamma: 0.9976"
S2,64.79,"kernel: rbf, C: 2.0233, gamma: 0.9098"
S3,64.58,"kernel: rbf, C: 1.5701, gamma: 0.3941"
S4,67.92,"kernel: rbf, C: 79.1232, gamma: 0.7411"
S5,64.38,"kernel: rbf, C: 7.4281, gamma: 0.6355"
S6,67.29,"kernel: rbf, C: 1.6157, gamma: 0.4394"
S7,63.12,"kernel: rbf, C: 299.7926, gamma: 0.0023"
S8,65.83,"kernel: rbf, C: 167.8196, gamma: 0.8289"
S9,63.75,"kernel: rbf, C: 156.1858, gamma: 0.0021"
S10,68.54,"kernel: rbf, C: 0.8317, gamma: 0.8070"
